Date,Residential,Educational,Highway and Street
2007/5/1,45233000000,8017000000,6821000000
2007/6/1,47152000000,9353000000,7560000000
2007/7/1,47952000000,9830000000,7808000000
2007/8/1,47101000000,10190000000,8790000000
2007/9/1,42668000000,8980000000,8520000000
2007/10/1,41444000000,8414000000,8023000000
2007/11/1,35974000000,8239000000,6703000000
2007/12/1,30621000000,7374000000,4907000000
2008/1/1,27607000000,7101000000,3757000000
2008/2/1,26736000000,6912000000,3989000000
2008/3/1,30033000000,7430000000,4734000000
2008/4/1,32313000000,8100000000,5844000000
2008/5/1,33213000000,8835000000,6894000000
2008/6/1,34818000000,10064000000,8064000000
2008/7/1,35452000000,10615000000,8900000000
2008/8/1,35076000000,11053000000,9188000000
2008/9/1,31938000000,9611000000,9435000000
2008/10/1,31486000000,9068000000,8639000000
2008/11/1,26080000000,8411000000,6908000000
2008/12/1,21909000000,7691000000,5010000000
2009/1/1,19056000000,7348000000,3821000000
2009/2/1,17915000000,7403000000,3943000000
2009/3/1,19317000000,8121000000,4530000000
2009/4/1,20502000000,8581000000,5649000000
2009/5/1,20416000000,9081000000,6695000000
2009/6/1,22148000000,10450000000,8513000000
2009/7/1,23566000000,10656000000,9222000000
2009/8/1,24758000000,10360000000,9547000000
2009/9/1,23767000000,9011000000,9694000000
2009/10/1,24403000000,8069000000,8829000000
2009/11/1,20906000000,7407000000,6871000000
2009/12/1,18789000000,6716000000,4852000000
2010/1/1,17035000000,6366000000,3584000000
2010/2/1,16838000000,6205000000,3796000000
2010/3/1,19292000000,6622000000,4564000000
2010/4/1,21668000000,7016000000,5728000000
2010/5/1,22229000000,7463000000,7055000000
2010/6/1,23795000000,8758000000,8468000000
2010/7/1,23811000000,9138000000,8379000000
2010/8/1,24009000000,9153000000,9653000000
2010/9/1,22845000000,8237000000,9920000000
2010/10/1,23263000000,6950000000,8962000000
2010/11/1,19798000000,6530000000,7352000000
2010/12/1,17747000000,5967000000,5068000000
2011/1/1,16277000000,5626000000,3760000000
2011/2/1,16026000000,5526000000,3794000000
2011/3/1,18562000000,6184000000,4431000000
2011/4/1,20897000000,6568000000,5160000000
2011/5/1,21733000000,7064000000,6398000000
2011/6/1,23495000000,8278000000,7869000000
2011/7/1,23941000000,8507000000,8108000000
2011/8/1,24979000000,8972000000,9207000000
2011/9/1,23822000000,8069000000,9466000000
2011/10/1,24223000000,7218000000,8591000000
2011/11/1,20369000000,6685000000,7412000000
2011/12/1,18322000000,6289000000,5128000000
2012/1/1,16898000000,5977000000,3714000000
2012/2/1,16703000000,5959000000,4044000000
2012/3/1,19303000000,6321000000,4385000000
2012/4/1,21737000000,6544000000,5631000000
2012/5/1,23122000000,7044000000,7361000000
2012/6/1,25077000000,8447000000,8720000000
2012/7/1,25812000000,8964000000,8827000000
2012/8/1,26935000000,8792000000,9616000000
2012/9/1,26501000000,7553000000,8739000000
2012/10/1,27771000000,6879000000,8259000000
2012/11/1,24338000000,6331000000,6684000000
2012/12/1,21860000000,5862000000,4566000000
2013/1/1,20401000000,5486000000,3701000000
2013/2/1,20279000000,5547000000,3804000000
2013/3/1,23883000000,5658000000,4051000000
2013/4/1,26333000000,6062000000,5604000000
2013/5/1,27976000000,6702000000,7105000000
2013/6/1,29795000000,7805000000,8320000000
2013/7/1,30732000000,8363000000,9092000000
2013/8/1,31565000000,8260000000,9798000000
2013/9/1,31120000000,7032000000,9415000000
2013/10/1,32103000000,6615000000,8687000000
2013/11/1,28767000000,6075000000,6855000000
2013/12/1,26264000000,5454000000,4932000000
2014/1/1,24487000000,5223000000,3864000000
2014/2/1,23867000000,5176000000,3884000000
2014/3/1,28360000000,5563000000,4530000000
2014/4/1,31002000000,6326000000,5949000000
2014/5/1,32678000000,6844000000,7329000000
2014/6/1,34143000000,8134000000,8030000000
2014/7/1,34539000000,8353000000,9318000000
2014/8/1,34510000000,8424000000,9857000000
2014/9/1,34604000000,7078000000,9697000000
2014/10/1,35218000000,6744000000,9598000000
2014/11/1,32033000000,6078000000,7308000000
2014/12/1,29418000000,5738000000,5379000000
2015/1/1,27554000000,5252000000,3887000000
2015/2/1,27203000000,5313000000,3946000000
2015/3/1,32272000000,5742000000,4534000000
2015/4/1,35501000000,6527000000,6247000000
2015/5/1,38223000000,7122000000,7610000000
2015/6/1,40861000000,8648000000,9369000000
2015/7/1,41808000000,9018000000,10079000000
2015/8/1,42189000000,8768000000,10777000000
2015/9/1,42130000000,7579000000,10469000000
2015/10/1,41725000000,6828000000,9739000000
2015/11/1,37415000000,6534000000,7216000000
2015/12/1,33374000000,6187000000,5878000000
2016/1/1,30797000000,5790000000,4500000000
2016/2/1,30745000000,6151000000,4562000000
2016/3/1,36635000000,6542000000,5252000000
2016/4/1,37523000000,6971000000,6130000000
2016/5/1,39474000000,7197000000,7520000000
2016/6/1,42223000000,8897000000,9059000000
2016/7/1,43577000000,8933000000,9462000000
2016/8/1,42857000000,8921000000,10166000000
2016/9/1,42523000000,7804000000,9735000000
