date,total cases and total deaths(M),symbol
2020/3/2,0.045601,total recovered
2020/3/3,0.092971,total cases
2020/3/3,0.00316,total deaths
2020/3/3,0.048227,total recovered
2020/3/4,0.095279,total cases
2020/3/4,0.003255,total deaths
2020/3/4,0.051169,total recovered
2020/3/5,0.09809,total cases
2020/3/5,0.003349,total deaths
2020/3/5,0.053795,total recovered
2020/3/6,0.102003,total cases
2020/3/6,0.00346,total deaths
2020/3/6,0.055863,total recovered
2020/3/7,0.106098,total cases
2020/3/7,0.003564,total deaths
2020/3/7,0.058357,total recovered
2020/3/8,0.110047,total cases
2020/3/8,0.003803,total deaths
2020/3/8,0.060694,total recovered
2020/3/9,0.114219,total cases
2020/3/9,0.003993,total deaths
2020/3/9,0.062493,total recovered
2020/3/10,0.119041,total cases
2020/3/10,0.004267,total deaths
2020/3/10,0.0644,total recovered
2020/3/11,0.126702,total cases
2020/3/11,0.004611,total deaths
2020/3/11,0.066998,total recovered
2020/3/12,0.132492,total cases
2020/3/12,0.004917,total deaths
2020/3/12,0.068321,total recovered
2020/3/13,0.146879,total cases
2020/3/13,0.005414,total deaths
2020/3/13,0.070248,total recovered
2020/3/14,0.157952,total cases
2020/3/14,0.005834,total deaths
2020/3/14,0.07262,total recovered
2020/3/15,0.169222,total cases
2020/3/15,0.00647,total deaths
2020/3/15,0.076031,total recovered
2020/3/16,0.184032,total cases
2020/3/16,0.007153,total deaths
2020/3/16,0.078086,total recovered
2020/3/17,0.199976,total cases
2020/3/17,0.007964,total deaths
2020/3/17,0.08083,total recovered
2020/3/18,0.219535,total cases
2020/3/18,0.008866,total deaths
2020/3/18,0.083317,total recovered
2020/3/19,0.246584,total cases
2020/3/19,0.009978,total deaths
2020/3/19,0.084958,total recovered
2020/3/20,0.277361,total cases
2020/3/20,0.01146,total deaths
2020/3/20,0.087403,total recovered
2020/3/21,0.309363,total cases
2020/3/21,0.013182,total deaths
2020/3/21,0.09165,total recovered
2020/3/22,0.344194,total cases
2020/3/22,0.014857,total deaths
2020/3/22,0.097867,total recovered
2020/3/23,0.387045,total cases
2020/3/23,0.016798,total deaths
2020/3/23,0.098335,total recovered
2020/3/24,0.428205,total cases
2020/3/24,0.019083,total deaths
2020/3/24,0.107974,total recovered
2020/3/25,0.479223,total cases
2020/3/25,0.021882,total deaths
2020/3/25,0.113753,total recovered
2020/3/26,0.542053,total cases
2020/3/26,0.024902,total deaths
2020/3/26,0.122125,total recovered
2020/3/27,0.607114,total cases
2020/3/27,0.028396,total deaths
2020/3/27,0.13091,total recovered
2020/3/28,0.67436,total cases
2020/3/28,0.032112,total deaths
2020/3/28,0.139421,total recovered
2020/3/29,0.733612,total cases
2020/3/29,0.035588,total deaths
2020/3/29,0.148877,total recovered
2020/3/30,0.79889,total cases
2020/3/30,0.03964,total deaths
2020/3/30,0.164214,total recovered
2020/3/31,0.875739,total cases
2020/3/31,0.044389,total deaths
2020/3/31,0.177804,total recovered
2020/4/1,0.958601,total cases
2020/4/1,0.050344,total deaths
2020/4/1,0.193076,total recovered
2020/4/2,1.041662,total cases
2020/4/2,0.056197,total deaths
2020/4/2,0.210219,total recovered
2020/4/3,1.125086,total cases
2020/4/3,0.062319,total deaths
2020/4/3,0.225641,total recovered
2020/4/4,1.183501,total cases
2020/4/4,0.06849,total deaths
2020/4/4,0.246053,total recovered
2020/4/5,1.256089,total cases
2020/4/5,0.073673,total deaths
2020/4/5,0.259889,total recovered
2020/4/6,1.329228,total cases
2020/4/6,0.079599,total deaths
2020/4/6,0.276598,total recovered
2020/4/7,1.399055,total cases
2020/4/7,0.087833,total deaths
2020/4/7,0.29986,total recovered
2020/4/8,1.482433,total cases
2020/4/8,0.094581,total deaths
2020/4/8,0.328742,total recovered
2020/4/9,1.569454,total cases
2020/4/9,0.102328,total deaths
2020/4/9,0.353996,total recovered
2020/4/10,1.654968,total cases
2020/4/10,0.109717,total deaths
2020/4/10,0.375734,total recovered
2020/4/11,1.729309,total cases
2020/4/11,0.115956,total deaths
2020/4/11,0.401984,total recovered
2020/4/12,1.849041,total cases
2020/4/12,0.121783,total deaths
2020/4/12,0.421367,total recovered
2020/4/13,1.919797,total cases
2020/4/13,0.127705,total deaths
2020/4/13,0.448624,total recovered
2020/4/14,2.003732,total cases
2020/4/14,0.134675,total deaths
2020/4/14,0.473698,total recovered
2020/4/15,2.08083,total cases
2020/4/15,0.143023,total deaths
2020/4/15,0.510237,total recovered
2020/4/16,2.176408,total cases
2020/4/16,0.150302,total deaths
2020/4/16,0.54112,total recovered
2020/4/17,2.26412,total cases
2020/4/17,0.158662,total deaths
2020/4/17,0.567304,total recovered
2020/4/18,2.341473,total cases
2020/4/18,0.164686,total deaths
2020/4/18,0.59117,total recovered
2020/4/19,2.418166,total cases
2020/4/19,0.169946,total deaths
2020/4/19,0.622953,total recovered
2020/4/20,2.494115,total cases
2020/4/20,0.175822,total deaths
2020/4/20,0.645131,total recovered
2020/4/21,2.569728,total cases
2020/4/21,0.183003,total deaths
2020/4/21,0.679933,total recovered
2020/4/22,2.650749,total cases
2020/4/22,0.189721,total deaths
2020/4/22,0.710018,total recovered
2020/4/23,2.735103,total cases
2020/4/23,0.196546,total deaths
2020/4/23,0.738748,total recovered
2020/4/24,2.819191,total cases
2020/4/24,0.203214,total deaths
2020/4/24,0.788777,total recovered
2020/4/25,2.901458,total cases
2020/4/25,0.208851,total deaths
2020/4/25,0.816532,total recovered
2020/4/26,2.973163,total cases
2020/4/26,0.212802,total deaths
2020/4/26,0.845344,total recovered
2020/4/27,3.043202,total cases
2020/4/27,0.217472,total deaths
2020/4/27,0.873228,total recovered
2020/4/28,3.118508,total cases
2020/4/28,0.224001,total deaths
2020/4/28,0.90644,total recovered
2020/4/29,3.195544,total cases
2020/4/29,0.230727,total deaths
2020/4/29,0.948517,total recovered
2020/4/30,3.279073,total cases
2020/4/30,0.236716,total deaths
2020/4/30,1.013633,total recovered
2020/5/1,3.367339,total cases
2020/5/1,0.241871,total deaths
2020/5/1,1.05179,total recovered
2020/5/2,3.44663,total cases
2020/5/2,0.247384,total deaths
2020/5/2,1.092441,total recovered
2020/5/3,3.523175,total cases
2020/5/3,0.250868,total deaths
2020/5/3,1.124974,total recovered
2020/5/4,3.600779,total cases
2020/5/4,0.254974,total deaths
2020/5/4,1.15906,total recovered
2020/5/5,3.681127,total cases
2020/5/5,0.260846,total deaths
2020/5/5,1.195533,total recovered
2020/5/6,3.771007,total cases
2020/5/6,0.267394,total deaths
2020/5/6,1.241652,total recovered
2020/5/7,3.859785,total cases
2020/5/7,0.272685,total deaths
2020/5/7,1.281177,total recovered
2020/5/8,3.95012,total cases
2020/5/8,0.278158,total deaths
2020/5/8,1.31759,total recovered
2020/5/9,4.03491,total cases
2020/5/9,0.282439,total deaths
2020/5/9,1.371031,total recovered
2020/5/10,4.110202,total cases
2020/5/10,0.286043,total deaths
2020/5/10,1.40484,total recovered
2020/5/11,4.187133,total cases
2020/5/11,0.289506,total deaths
2020/5/11,1.451725,total recovered
2020/5/12,4.271251,total cases
2020/5/12,0.295031,total deaths
2020/5/12,1.488767,total recovered
2020/5/13,4.356139,total cases
2020/5/13,0.300101,total deaths
2020/5/13,1.544639,total recovered
2020/5/14,4.452527,total cases
2020/5/14,0.305291,total deaths
2020/5/14,1.58435,total recovered
2020/5/15,4.548277,total cases
2020/5/15,0.310409,total deaths
2020/5/15,1.632453,total recovered
2020/5/16,4.643002,total cases
2020/5/16,0.314683,total deaths
2020/5/16,1.688864,total recovered
2020/5/17,4.720844,total cases
2020/5/17,0.31788,total deaths
2020/5/17,1.729872,total recovered
2020/5/18,4.809885,total cases
2020/5/18,0.321581,total deaths
2020/5/18,1.782788,total recovered
2020/5/19,4.906666,total cases
2020/5/19,0.326272,total deaths
2020/5/19,1.83484,total recovered
2020/5/20,5.008397,total cases
2020/5/20,0.331032,total deaths
2020/5/20,1.89381,total recovered
2020/5/21,5.114997,total cases
2020/5/21,0.335751,total deaths
2020/5/21,1.94503,total recovered
2020/5/22,5.221533,total cases
2020/5/22,0.341018,total deaths
2020/5/22,2.053577,total recovered
2020/5/23,5.326614,total cases
2020/5/23,0.344986,total deaths
2020/5/23,2.108411,total recovered
2020/5/24,5.420782,total cases
2020/5/24,0.347995,total deaths
2020/5/24,2.163938,total recovered
2020/5/25,5.507621,total cases
2020/5/25,0.349194,total deaths
2020/5/25,2.227667,total recovered
2020/5/26,5.601251,total cases
2020/5/26,0.353374,total deaths
2020/5/26,2.282819,total recovered
2020/5/27,5.704043,total cases
2020/5/27,0.358437,total deaths
2020/5/27,2.346146,total recovered
2020/5/28,5.822948,total cases
2020/5/28,0.363053,total deaths
2020/5/28,2.413009,total recovered
2020/5/29,5.944039,total cases
2020/5/29,0.367647,total deaths
2020/5/29,2.490274,total recovered
2020/5/30,6.080995,total cases
2020/5/30,0.371709,total deaths
2020/5/30,2.560724,total recovered
2020/5/31,6.187617,total cases
2020/5/31,0.374692,total deaths
2020/5/31,2.637108,total recovered
2020/6/1,6.283302,total cases
2020/6/1,0.377777,total deaths
2020/6/1,2.692033,total recovered
2020/6/2,6.40472,total cases
2020/6/2,0.382489,total deaths
2020/6/2,2.796145,total recovered
2020/6/3,6.519015,total cases
2020/6/3,0.387924,total deaths
2020/6/3,2.875236,total recovered
2020/6/4,6.649743,total cases
2020/6/4,0.39305,total deaths
2020/6/4,2.945306,total recovered
2020/6/5,6.781099,total cases
2020/6/5,0.397602,total deaths
2020/6/5,3.014471,total recovered
2020/6/6,6.915223,total cases
2020/6/6,0.401455,total deaths
2020/6/6,3.086675,total recovered
2020/6/7,7.027195,total cases
2020/6/7,0.404207,total deaths
2020/6/7,3.141784,total recovered
2020/6/8,7.129785,total cases
2020/6/8,0.407895,total deaths
2020/6/8,3.293395,total recovered
2020/6/9,7.254563,total cases
2020/6/9,0.41272,total deaths
2020/6/9,3.375665,total recovered
2020/6/10,7.389458,total cases
2020/6/10,0.417778,total deaths
2020/6/10,3.454836,total recovered
2020/6/11,7.527334,total cases
2020/6/11,0.422455,total deaths
2020/6/11,3.540715,total recovered
2020/6/12,7.655982,total cases
2020/6/12,0.426668,total deaths
2020/6/12,3.620435,total recovered
2020/6/13,7.791149,total cases
2020/6/13,0.430856,total deaths
2020/6/13,3.706327,total recovered
2020/6/14,7.923625,total cases
2020/6/14,0.434273,total deaths
2020/6/14,3.777146,total recovered
2020/6/15,8.043069,total cases
2020/6/15,0.437692,total deaths
2020/6/15,3.857421,total recovered
2020/6/16,8.18499,total cases
2020/6/16,0.444413,total deaths
2020/6/16,3.955284,total recovered
2020/6/17,8.328152,total cases
2020/6/17,0.449506,total deaths
2020/6/17,4.074115,total recovered
2020/6/18,8.468486,total cases
2020/6/18,0.454471,total deaths
2020/6/18,4.155278,total recovered
2020/6/19,8.648275,total cases
2020/6/19,0.460619,total deaths
2020/6/19,4.250268,total recovered
2020/6/20,8.804913,total cases
2020/6/20,0.464821,total deaths
2020/6/20,4.366122,total recovered
2020/6/21,8.932952,total cases
2020/6/21,0.468831,total deaths
2020/6/21,4.434808,total recovered
2020/6/22,9.071294,total cases
2020/6/22,0.47239,total deaths
2020/6/22,4.526441,total recovered
2020/6/23,9.237176,total cases
2020/6/23,0.477609,total deaths
2020/6/23,4.630496,total recovered
2020/6/24,9.408237,total cases
2020/6/24,0.482785,total deaths
2020/6/24,4.746247,total recovered
2020/6/25,9.586818,total cases
2020/6/25,0.487479,total deaths
2020/6/25,4.839131,total recovered
2020/6/26,9.778118,total cases
2020/6/26,0.492189,total deaths
2020/6/26,4.945111,total recovered
2020/6/27,9.955755,total cases
2020/6/27,0.496669,total deaths
2020/6/27,5.051397,total recovered
2020/6/28,10.119217,total cases
2020/6/28,0.499818,total deaths
2020/6/28,5.1406,total recovered
2020/6/29,10.273694,total cases
2020/6/29,0.503548,total deaths
2020/6/29,5.235171,total recovered
2020/6/30,10.447667,total cases
2020/6/30,0.508481,total deaths
2020/6/30,5.352511,total recovered
2020/7/1,10.665134,total cases
2020/7/1,0.513409,total deaths
2020/7/1,5.468425,total recovered
2020/7/2,10.874057,total cases
2020/7/2,0.518475,total deaths
2020/7/2,5.753359,total recovered
2020/7/3,11.07568,total cases
2020/7/3,0.52341,total deaths
2020/7/3,5.863247,total recovered
2020/7/4,11.269688,total cases
2020/7/4,0.527795,total deaths
2020/7/4,6.059007,total recovered
2020/7/5,11.45293,total cases
2020/7/5,0.531278,total deaths
2020/7/5,6.17837,total recovered
2020/7/6,11.617428,total cases
2020/7/6,0.535115,total deaths
2020/7/6,6.302069,total recovered
2020/7/7,11.828845,total cases
2020/7/7,0.541122,total deaths
2020/7/7,6.447102,total recovered
2020/7/8,12.042625,total cases
2020/7/8,0.54642,total deaths
2020/7/8,6.605158,total recovered
2020/7/9,12.269629,total cases
2020/7/9,0.5518,total deaths
2020/7/9,6.739776,total recovered
2020/7/10,12.502211,total cases
2020/7/10,0.557086,total deaths
2020/7/10,6.879222,total recovered
2020/7/11,12.719735,total cases
2020/7/11,0.561896,total deaths
2020/7/11,7.004914,total recovered
2020/7/12,12.912321,total cases
2020/7/12,0.565887,total deaths
2020/7/12,7.11675,total recovered
2020/7/13,13.103178,total cases
2020/7/13,0.56978,total deaths
2020/7/13,7.257073,total recovered
2020/7/14,13.324911,total cases
2020/7/14,0.575359,total deaths
2020/7/14,7.399325,total recovered
2020/7/15,13.556384,total cases
2020/7/15,0.580768,total deaths
2020/7/15,7.559131,total recovered
2020/7/16,13.808502,total cases
2020/7/16,0.58654,total deaths
2020/7/16,7.711616,total recovered
2020/7/17,14.050878,total cases
2020/7/17,0.593183,total deaths
2020/7/17,7.895037,total recovered
2020/7/18,14.287228,total cases
2020/7/18,0.598802,total deaths
2020/7/18,8.045824,total recovered
2020/7/19,14.500967,total cases
2020/7/19,0.602877,total deaths
2020/7/19,8.133882,total recovered
2020/7/20,14.707359,total cases
2020/7/20,0.607073,total deaths
2020/7/20,8.29301,total recovered
2020/7/21,14.940469,total cases
2020/7/21,0.613242,total deaths
2020/7/21,8.467706,total recovered
2020/7/22,15.221747,total cases
2020/7/22,0.620161,total deaths
2020/7/22,8.647438,total recovered
2020/7/23,15.504677,total cases
2020/7/23,0.630062,total deaths
2020/7/23,8.823668,total recovered
2020/7/24,15.785888,total cases
2020/7/24,0.636115,total deaths
2020/7/24,9.051968,total recovered
2020/7/25,16.040277,total cases
2020/7/25,0.641645,total deaths
2020/7/25,9.27178,total recovered
2020/7/26,16.25325,total cases
2020/7/26,0.645339,total deaths
2020/7/26,9.415081,total recovered
2020/7/27,16.479069,total cases
2020/7/27,0.650519,total deaths
2020/7/27,9.586464,total recovered
2020/7/28,16.731027,total cases
2020/7/28,0.656806,total deaths
2020/7/28,9.756922,total recovered
2020/7/29,17.022514,total cases
2020/7/29,0.663393,total deaths
2020/7/29,9.959508,total recovered
2020/7/30,17.302946,total cases
2020/7/30,0.669427,total deaths
2020/7/30,10.173027,total recovered
2020/7/31,17.593931,total cases
2020/7/31,0.675634,total deaths
2020/7/31,10.372633,total recovered
2020/8/1,17.842857,total cases
2020/8/1,0.6811,total deaths
2020/8/1,10.553544,total recovered
2020/8/2,18.074408,total cases
2020/8/2,0.685412,total deaths
2020/8/2,10.692268,total recovered
2020/8/3,18.280103,total cases
2020/8/3,0.690075,total deaths
2020/8/3,10.914713,total recovered
2020/8/4,18.536427,total cases
2020/8/4,0.696677,total deaths
2020/8/4,11.13837,total recovered
2020/8/5,18.81295,total cases
2020/8/5,0.703683,total deaths
2020/8/5,11.360065,total recovered
2020/8/6,19.098152,total cases
2020/8/6,0.710145,total deaths
2020/8/6,11.548872,total recovered
2020/8/7,19.379581,total cases
2020/8/7,0.71644,total deaths
2020/8/7,11.740918,total recovered
2020/8/8,19.638069,total cases
2020/8/8,0.72187,total deaths
2020/8/8,11.941162,total recovered
2020/8/9,19.863462,total cases
2020/8/9,0.726447,total deaths
2020/8/9,12.11994,total recovered
2020/8/10,20.090473,total cases
2020/8/10,0.731706,total deaths
2020/8/10,12.284151,total recovered
2020/8/11,20.346972,total cases
2020/8/11,0.737916,total deaths
2020/8/11,12.589219,total recovered
2020/8/12,20.62423,total cases
2020/8/12,0.744515,total deaths
2020/8/12,12.829864,total recovered
2020/8/13,20.913936,total cases
2020/8/13,0.750724,total deaths
2020/8/13,12.99378,total recovered
2020/8/14,21.216955,total cases
2020/8/14,0.760852,total deaths
2020/8/14,13.277022,total recovered
2020/8/15,21.464275,total cases
2020/8/15,0.76624,total deaths
2020/8/15,13.445626,total recovered
2020/8/16,21.680469,total cases
2020/8/16,0.770458,total deaths
2020/8/16,13.67858,total recovered
2020/8/17,21.888348,total cases
2020/8/17,0.774602,total deaths
2020/8/17,13.889592,total recovered
2020/8/18,22.14649,total cases
2020/8/18,0.781489,total deaths
2020/8/18,14.117187,total recovered
2020/8/19,22.426342,total cases
2020/8/19,0.788193,total deaths
2020/8/19,14.335184,total recovered
2020/8/20,22.698858,total cases
2020/8/20,0.794239,total deaths
2020/8/20,14.542974,total recovered
2020/8/21,22.959904,total cases
2020/8/21,0.799675,total deaths
2020/8/21,14.711468,total recovered
2020/8/22,23.224361,total cases
2020/8/22,0.805248,total deaths
2020/8/22,14.921385,total recovered
2020/8/23,23.430769,total cases
2020/8/23,0.809114,total deaths
2020/8/23,15.137916,total recovered
2020/8/24,23.655997,total cases
2020/8/24,0.813597,total deaths
2020/8/24,15.337337,total recovered
2020/8/25,23.899722,total cases
2020/8/25,0.819861,total deaths
2020/8/25,15.568886,total recovered
2020/8/26,24.18385,total cases
2020/8/26,0.826152,total deaths
2020/8/26,15.79462,total recovered
2020/8/27,24.467592,total cases
2020/8/27,0.832035,total deaths
2020/8/27,16.001857,total recovered
2020/8/28,24.75126,total cases
2020/8/28,0.837541,total deaths
2020/8/28,16.200975,total recovered
2020/8/29,25.017791,total cases
2020/8/29,0.84281,total deaths
2020/8/29,16.412388,total recovered
2020/8/30,25.239068,total cases
2020/8/30,0.846844,total deaths
2020/8/30,16.622628,total recovered
2020/8/31,25.501715,total cases
2020/8/31,0.851062,total deaths
2020/8/31,16.823418,total recovered
2020/9/1,25.766467,total cases
2020/9/1,0.857499,total deaths
2020/9/1,17.08138,total recovered
2020/9/2,26.049992,total cases
2020/9/2,0.863577,total deaths
2020/9/2,17.300617,total recovered
2020/9/3,26.331039,total cases
2020/9/3,0.869282,total deaths
2020/9/3,17.521986,total recovered
2020/9/4,26.644864,total cases
2020/9/4,0.875156,total deaths
2020/9/4,17.735487,total recovered
2020/9/5,26.914845,total cases
2020/9/5,0.880106,total deaths
2020/9/5,17.936475,total recovered
2020/9/6,27.145595,total cases
2020/9/6,0.883895,total deaths
2020/9/6,18.148266,total recovered
2020/9/7,27.363369,total cases
2020/9/7,0.893253,total deaths
2020/9/7,18.345814,total recovered
2020/9/8,27.60522,total cases
2020/9/8,0.898164,total deaths
2020/9/8,18.547611,total recovered
2020/9/9,27.889943,total cases
2020/9/9,0.904263,total deaths
2020/9/9,18.787878,total recovered
2020/9/10,28.18989,total cases
2020/9/10,0.910065,total deaths
2020/9/10,19.004539,total recovered
2020/9/11,28.510977,total cases
2020/9/11,0.915946,total deaths
2020/9/11,19.228209,total recovered
2020/9/12,28.797456,total cases
2020/9/12,0.920846,total deaths
2020/9/12,19.451143,total recovered
2020/9/13,29.040262,total cases
2020/9/13,0.924517,total deaths
2020/9/13,19.638991,total recovered
2020/9/14,29.303533,total cases
2020/9/14,0.928933,total deaths
2020/9/14,19.86749,total recovered
2020/9/15,29.588876,total cases
2020/9/15,0.935455,total deaths
2020/9/15,20.093777,total recovered
2020/9/16,29.89295,total cases
2020/9/16,0.941261,total deaths
2020/9/16,20.323254,total recovered
2020/9/17,30.207772,total cases
2020/9/17,0.946732,total deaths
2020/9/17,20.543465,total recovered
2020/9/18,30.533416,total cases
2020/9/18,0.952422,total deaths
2020/9/18,20.794614,total recovered
2020/9/19,30.825596,total cases
2020/9/19,0.957683,total deaths
2020/9/19,21.031599,total recovered
2020/9/20,31.077672,total cases
2020/9/20,0.961408,total deaths
2020/9/20,21.268676,total recovered
2020/9/21,31.35349,total cases
2020/9/21,0.965503,total deaths
2020/9/21,21.514154,total recovered
2020/9/22,31.637545,total cases
2020/9/22,0.971459,total deaths
2020/9/22,21.733547,total recovered
2020/9/23,31.9129,total cases
2020/9/23,0.977093,total deaths
2020/9/23,21.99696,total recovered
2020/9/24,32.265204,total cases
2020/9/24,0.983764,total deaths
2020/9/24,22.25263,total recovered
2020/9/25,32.595593,total cases
2020/9/25,0.989651,total deaths
2020/9/25,22.491838,total recovered
2020/9/26,32.883719,total cases
2020/9/26,0.994981,total deaths
2020/9/26,22.753981,total recovered
2020/9/27,33.135284,total cases
2020/9/27,0.998642,total deaths
2020/9/27,22.96786,total recovered
2020/9/28,33.389254,total cases
2020/9/28,1.002584,total deaths
2020/9/28,23.190402,total recovered
2020/9/29,33.671083,total cases
2020/9/29,1.008546,total deaths
2020/9/29,23.431686,total recovered
2020/9/30,33.99921,total cases
2020/9/30,1.014974,total deaths
2020/9/30,23.679904,total recovered
2020/10/1,34.317276,total cases
2020/10/1,1.023674,total deaths
2020/10/1,23.901446,total recovered
2020/10/2,34.614672,total cases
2020/10/2,1.028677,total deaths
2020/10/2,24.073731,total recovered
2020/10/3,34.94671,total cases
2020/10/3,1.034044,total deaths
2020/10/3,24.329332,total recovered
2020/10/4,35.208617,total cases
2020/10/4,1.037856,total deaths
2020/10/4,24.551491,total recovered
2020/10/5,35.509247,total cases
2020/10/5,1.044776,total deaths
2020/10/5,24.788959,total recovered
2020/10/6,35.83512,total cases
2020/10/6,1.050567,total deaths
2020/10/6,25.021585,total recovered
2020/10/7,36.185785,total cases
2020/10/7,1.056399,total deaths
2020/10/7,25.276776,total recovered
2020/10/8,36.547071,total cases
2020/10/8,1.062656,total deaths
2020/10/8,25.496282,total recovered
2020/10/9,36.907485,total cases
2020/10/9,1.068813,total deaths
2020/10/9,25.703072,total recovered
2020/10/10,37.26405,total cases
2020/10/10,1.073669,total deaths
2020/10/10,25.898477,total recovered
2020/10/11,37.551609,total cases
2020/10/11,1.077647,total deaths
2020/10/11,26.121117,total recovered
2020/10/12,37.842739,total cases
2020/10/12,1.081588,total deaths
2020/10/12,26.321236,total recovered
2020/10/13,38.161563,total cases
2020/10/13,1.086862,total deaths
2020/10/13,26.513681,total recovered
2020/10/14,38.543448,total cases
2020/10/14,1.092921,total deaths
2020/10/14,26.725966,total recovered
2020/10/15,38.950083,total cases
2020/10/15,1.099017,total deaths
2020/10/15,26.933293,total recovered
2020/10/16,39.36131,total cases
2020/10/16,1.105159,total deaths
2020/10/16,27.136307,total recovered
2020/10/17,39.733921,total cases
2020/10/17,1.110742,total deaths
2020/10/17,27.33459,total recovered
2020/10/18,40.050552,total cases
2020/10/18,1.114244,total deaths
2020/10/18,27.536101,total recovered
2020/10/19,40.43698,total cases
2020/10/19,1.119042,total deaths
2020/10/19,27.738632,total recovered
2020/10/20,40.825619,total cases
2020/10/20,1.125593,total deaths
2020/10/20,27.950079,total recovered
2020/10/21,41.269869,total cases
2020/10/21,1.132261,total deaths
2020/10/21,28.161301,total recovered
2020/10/22,41.742073,total cases
2020/10/22,1.138148,total deaths
2020/10/22,28.388094,total recovered
2020/10/23,42.238234,total cases
2020/10/23,1.145099,total deaths
2020/10/23,28.594828,total recovered
2020/10/24,42.694987,total cases
2020/10/24,1.150925,total deaths
2020/10/24,28.806409,total recovered
2020/10/25,43.055358,total cases
2020/10/25,1.155065,total deaths
2020/10/25,29.003667,total recovered
2020/10/26,43.541356,total cases
2020/10/26,1.160533,total deaths
2020/10/26,29.242802,total recovered
2020/10/27,44.010608,total cases
2020/10/27,1.167903,total deaths
2020/10/27,29.832507,total recovered
2020/10/28,44.521391,total cases
2020/10/28,1.17504,total deaths
2020/10/28,30.098469,total recovered
2020/10/29,45.071405,total cases
2020/10/29,1.182095,total deaths
2020/10/29,30.34522,total recovered
2020/10/30,45.641595,total cases
2020/10/30,1.189658,total deaths
